TCGA-02-0001-01C-01D-0186-05
TCGA-02-0003-01A-01D-0186-05
TCGA-02-0006-01B-01D-0186-05
TCGA-02-0007-01A-01D-0186-05
TCGA-02-0009-01A-01D-0186-05
TCGA-02-0010-01A-01D-0186-05
TCGA-02-0014-01A-01D-0186-05
TCGA-02-0021-01A-01D-0186-05
TCGA-02-0024-01B-01D-0186-05
TCGA-02-0028-01A-01D-0186-05
TCGA-02-0034-01A-01D-0186-05
TCGA-02-0037-01A-01D-0186-05
TCGA-02-0052-01A-01D-0186-05
TCGA-02-0058-01A-01D-0186-05
TCGA-02-0069-01A-01D-0199-05
TCGA-02-0071-01A-01D-0199-05
TCGA-02-0085-01A-01D-0199-05
TCGA-02-0116-01A-01D-0199-05
TCGA-02-2466-01A-01D-0788-05
TCGA-02-2470-01A-01D-0788-05
TCGA-02-2485-01A-01D-0788-05
TCGA-06-0121-01A-04D-0218-05
TCGA-06-0129-01A-01D-0218-05
TCGA-06-0133-01A-02D-0218-05
TCGA-06-0137-01A-03D-0218-05
TCGA-06-0142-01A-01D-0218-05
TCGA-06-0145-01A-01D-0218-05
TCGA-06-0145-01A-02D-0218-05
TCGA-06-0145-01A-03D-0218-05
TCGA-06-0145-01A-05D-0218-05
TCGA-06-0169-01A-01D-0218-05
TCGA-06-0878-01A-01D-0392-05
TCGA-06-0882-01A-01D-0392-05
TCGA-06-0939-01A-01D-1228-05
TCGA-06-1802-01A-01D-0595-05
TCGA-06-2558-01A-01D-0788-05
TCGA-06-2567-01A-01D-0788-05
TCGA-06-2569-01A-01D-0788-05
TCGA-12-0822-01A-01D-0392-05
TCGA-12-0829-01A-01D-0392-05
TCGA-12-1088-01A-01D-0521-05
TCGA-12-1089-01A-01D-0521-05
TCGA-12-1090-01A-01D-0521-05
TCGA-12-1094-01A-01D-0521-05
TCGA-12-1098-01C-01D-0521-05
TCGA-12-3644-01A-01D-0915-05
TCGA-12-3648-01A-01D-0915-05
TCGA-12-3649-01A-01D-0915-05
TCGA-12-3650-01A-01D-0915-05
TCGA-12-3651-01A-01D-0915-05
TCGA-12-3652-01A-01D-0915-05
TCGA-12-3653-01A-01D-0915-05
TCGA-14-1453-01A-01D-0521-05
TCGA-14-1454-01A-01D-0521-05
TCGA-15-1446-01A-01D-0521-05
TCGA-16-0850-01A-01D-0392-05
TCGA-19-2629-01A-01D-0915-05
TCGA-27-1832-01A-01D-0595-05
TCGA-27-2521-01A-01D-0788-05
TCGA-28-2499-01A-01D-0788-05
TCGA-28-2502-01B-01D-0788-05
TCGA-28-2506-01A-02D-0788-05
TCGA-32-2491-01A-01D-1228-05
TCGA-32-2498-01A-01D-1228-05
