0.0	269.0	2006.0	1688.0	1689.0	1480.0	1510.0	1346.0	1291.0	1382.0	1433.0	1373.0	1327.0	1335.0	1336.0
269.0	0.0	2020.0	1714.0	1719.0	1500.0	1517.0	1371.0	1329.0	1388.0	1437.0	1381.0	1335.0	1352.0	1406.0
2006.0	2020.0	0.0	2310.0	2272.0	2084.0	2113.0	1957.0	1888.0	1846.0	2040.0	2042.0	2016.0	2012.0	1815.0
1688.0	1714.0	2310.0	0.0	275.0	1373.0	1372.0	1554.0	1578.0	1627.0	1567.0	1555.0	1543.0	1551.0	1853.0
1689.0	1719.0	2272.0	275.0	0.0	1353.0	1365.0	1530.0	1554.0	1578.0	1577.0	1574.0	1561.0	1573.0	1851.0
1480.0	1500.0	2084.0	1373.0	1353.0	0.0	187.0	1115.0	1150.0	1260.0	1405.0	1378.0	1340.0	1340.0	1691.0
1510.0	1517.0	2113.0	1372.0	1365.0	187.0	0.0	1078.0	1111.0	1272.0	1443.0	1419.0	1384.0	1385.0	1718.0
1346.0	1371.0	1957.0	1554.0	1530.0	1115.0	1078.0	0.0	303.0	931.0	1509.0	1486.0	1445.0	1447.0	1653.0
1291.0	1329.0	1888.0	1578.0	1554.0	1150.0	1111.0	303.0	0.0	888.0	1482.0	1468.0	1425.0	1436.0	1622.0
1382.0	1388.0	1846.0	1627.0	1578.0	1260.0	1272.0	931.0	888.0	0.0	1408.0	1396.0	1366.0	1361.0	1613.0
1433.0	1437.0	2040.0	1567.0	1577.0	1405.0	1443.0	1509.0	1482.0	1408.0	0.0	224.0	252.0	262.0	1299.0
1373.0	1381.0	2042.0	1555.0	1574.0	1378.0	1419.0	1486.0	1468.0	1396.0	224.0	0.0	192.0	214.0	1236.0
1327.0	1335.0	2016.0	1543.0	1561.0	1340.0	1384.0	1445.0	1425.0	1366.0	252.0	192.0	0.0	213.0	1235.0
1335.0	1352.0	2012.0	1551.0	1573.0	1340.0	1385.0	1447.0	1436.0	1361.0	262.0	214.0	213.0	0.0	1223.0
1336.0	1406.0	1815.0	1853.0	1851.0	1691.0	1718.0	1653.0	1622.0	1613.0	1299.0	1236.0	1235.0	1223.0	0.0
