TCGA-A1-A0SD-01A-11D-A112-05
TCGA-A2-A04N-01A-11D-A112-05
TCGA-A2-A04P-01A-31D-A032-05
TCGA-A2-A04Q-01A-21D-A032-05
TCGA-A2-A04T-01A-21D-A032-05
TCGA-A2-A04U-01A-11D-A112-05
TCGA-A2-A04V-01A-21D-A032-05
TCGA-A2-A04W-01A-31D-A112-05
TCGA-A2-A04X-01A-21D-A032-05
TCGA-A2-A04Y-01A-21D-A032-05
TCGA-A2-A0CM-01A-31D-A032-05
TCGA-A2-A0CP-01A-11D-A032-05
TCGA-A2-A0CQ-01A-21D-A032-05
TCGA-A2-A0CS-01A-11D-A112-05
TCGA-A2-A0CU-01A-12D-A032-05
TCGA-A2-A0CV-01A-31D-A112-05
TCGA-A2-A0CW-01A-21D-A112-05
TCGA-A2-A0CX-01A-21D-A00Y-05
TCGA-A2-A0CY-01A-12D-A032-05
TCGA-A2-A0CZ-01A-11D-A032-05
TCGA-A2-A0D0-01A-11D-A00Y-05
TCGA-A2-A0D1-01A-11D-A032-05
TCGA-A2-A0D2-01A-21D-A032-05
TCGA-A2-A0D3-01A-11D-A112-05
TCGA-A2-A0D4-01A-11D-A00Y-05
TCGA-A2-A0EM-01A-11D-A032-05
TCGA-A2-A0EO-01A-11D-A032-05
TCGA-A2-A0EQ-01A-11D-A032-05
TCGA-A2-A0ER-01A-21D-A032-05
TCGA-A2-A0ET-01A-31D-A032-05
TCGA-A2-A0EV-01A-11D-A032-05
TCGA-A2-A0EW-01A-21D-A112-05
TCGA-A2-A0EX-01A-21D-A032-05
TCGA-A2-A0T3-01A-21D-A112-05
TCGA-A7-A0CD-01A-11D-A00Y-05
TCGA-A7-A0CE-01A-11D-A00Y-05
TCGA-A7-A0CG-01A-11D-A00Y-05
TCGA-A7-A0CH-01A-21D-A00Y-05
TCGA-A7-A0CJ-01A-21D-A00Y-05
TCGA-A7-A0DA-01A-31D-A112-05
TCGA-A7-A0DB-01A-11D-A00Y-05
TCGA-A8-A06N-01A-11D-A00Y-05
TCGA-A8-A06O-01A-11D-A00Y-05
TCGA-A8-A06Q-01A-11D-A032-05
TCGA-A8-A06T-01A-11D-A00Y-05
