TCGA-A2-A0CL-01A-11D-A112-05
TCGA-A2-A0ES-01A-11D-A112-05
TCGA-A2-A0EY-01A-11D-A032-05
TCGA-A8-A06P-01A-11D-A00Y-05
TCGA-A8-A06R-01A-11D-A00Y-05
TCGA-A8-A076-01A-21D-A00Y-05
TCGA-A8-A07J-01A-11D-A00Y-05
TCGA-A8-A07P-01A-11D-A00Y-05
TCGA-A8-A07W-01A-11D-A00Y-05
TCGA-A8-A07Z-01A-11D-A00Y-05
TCGA-A8-A082-01A-11D-A00Y-05
TCGA-A8-A086-01A-11D-A00Y-05
TCGA-A8-A08A-01A-11D-A00Y-05
TCGA-A8-A08J-01A-11D-A00Y-05
TCGA-A8-A08P-01A-11D-A00Y-05
TCGA-A8-A08X-01A-21D-A00Y-05
TCGA-A8-A08Z-01A-21D-A00Y-05
TCGA-A8-A092-01A-11D-A00Y-05
TCGA-A8-A096-01A-11D-A00Y-05
TCGA-A8-A09N-01A-11D-A00Y-05
TCGA-A8-A09V-01A-11D-A032-05
TCGA-A8-A0A9-01A-11D-A00Y-05
TCGA-AN-A03Y-01A-21D-A00Y-05
TCGA-AN-A041-01A-11D-A032-05
TCGA-AN-A049-01A-21D-A00Y-05
TCGA-AN-A04C-01A-21D-A032-05
TCGA-AN-A0AR-01A-11D-A00Y-05
TCGA-AN-A0FF-01A-11D-A032-05
TCGA-AN-A0FJ-01A-11D-A00Y-05
TCGA-AN-A0FK-01A-11D-A032-05
TCGA-AN-A0FW-01A-11D-A032-05
TCGA-AN-A0FX-01A-11D-A032-05
TCGA-AO-A03T-01A-21D-A032-05
TCGA-AO-A0J4-01A-11D-A032-05
TCGA-AO-A0J8-01A-21D-A032-05
TCGA-AO-A12A-01A-21D-A112-05
TCGA-AO-A12F-01A-11D-A112-05
TCGA-AR-A0U1-01A-11D-A112-05
TCGA-B6-A0IB-01A-11D-A032-05
TCGA-B6-A0IC-01A-11D-A032-05
TCGA-B6-A0IG-01A-11D-A032-05
TCGA-B6-A0IM-01A-11D-A032-05
TCGA-BH-A0BL-01A-11D-A112-05
TCGA-BH-A0BO-01A-23D-A12E-05
TCGA-BH-A0BP-01A-11D-A112-05
TCGA-BH-A0BQ-01A-21D-A112-05
TCGA-BH-A0BW-01A-11D-A112-05
TCGA-BH-A0C1-01B-11D-A12E-05
TCGA-BH-A0DZ-01A-11D-A00Y-05
TCGA-BH-A0E6-01A-11D-A032-05
TCGA-BH-A0E9-01B-11D-A112-05
TCGA-BH-A0EI-01A-11D-A112-05
TCGA-BH-A0HL-01A-11D-A032-05
TCGA-BH-A0HQ-01A-11D-A032-05
TCGA-BH-A0HW-01A-11D-A032-05
TCGA-BH-A18I-01A-11D-A12E-05
TCGA-BH-A18M-01A-11D-A12E-05
TCGA-BH-A18S-01A-11D-A12E-05
TCGA-BH-A18T-01A-11D-A12E-05
TCGA-BH-A18U-01A-21D-A12E-05
TCGA-C8-A12O-01A-11D-A112-05
TCGA-C8-A12P-01A-11D-A112-05
TCGA-C8-A12Q-01A-11D-A112-05
TCGA-C8-A12T-01A-11D-A112-05
TCGA-C8-A12V-01A-11D-A112-05
TCGA-C8-A12W-01A-11D-A112-05
TCGA-C8-A12X-01A-11D-A112-05
TCGA-C8-A12Z-01A-11D-A112-05
TCGA-C8-A130-01A-31D-A112-05
TCGA-C8-A131-01A-11D-A112-05
TCGA-C8-A132-01A-31D-A112-05
TCGA-C8-A134-01A-11D-A112-05
TCGA-C8-A137-01A-11D-A112-05
TCGA-D8-A13Y-01A-11D-A112-05
TCGA-D8-A140-01A-11D-A112-05
TCGA-D8-A141-01A-11D-A112-05
TCGA-D8-A147-01A-11D-A112-05
TCGA-E2-A10A-01A-21D-A112-05
TCGA-E2-A14P-01A-31D-A12E-05
TCGA-E2-A14Q-01A-11D-A12E-05
TCGA-E2-A14S-01A-11D-A12E-05
TCGA-E2-A14T-01A-11D-A112-05
TCGA-E2-A14V-01A-11D-A12E-05
TCGA-E2-A14X-01A-11D-A112-05
TCGA-E2-A14Z-01A-11D-A112-05
TCGA-E2-A150-01A-11D-A12E-05
TCGA-E2-A152-01A-11D-A12E-05
TCGA-E2-A153-01A-12D-A12E-05
TCGA-E2-A154-01A-11D-A112-05
TCGA-E2-A155-01A-11D-A12E-05
TCGA-E2-A15A-01A-11D-A12E-05
TCGA-E2-A15A-06A-11D-A12E-05
TCGA-E2-A15H-01A-11D-A12E-05
TCGA-E2-A15L-01A-11D-A12E-05
TCGA-E2-A15O-01A-11D-A112-05
TCGA-E2-A15P-01A-11D-A112-05
TCGA-E2-A15S-01A-11D-A112-05
TCGA-E2-A15T-01A-11D-A112-05
