TCGA-A3-3323-01A-01D-0859-05
TCGA-A3-3329-01A-01D-0859-05
TCGA-A3-3336-01A-01D-0859-05
TCGA-A3-3343-01A-01D-0859-05
TCGA-A3-3351-01A-01D-1186-05
TCGA-A3-3362-01A-01D-1186-05
TCGA-A3-3365-01A-01D-0859-05
TCGA-A3-3372-01A-01D-0859-05
TCGA-A3-3374-01A-01D-0859-05
TCGA-A3-3383-01A-01D-0859-05
TCGA-AK-3429-01A-01D-1186-05
TCGA-AK-3430-01A-01D-1186-05
TCGA-AK-3447-01A-01D-0859-05
TCGA-AK-3456-01A-01D-1186-05
TCGA-B0-4834-01A-01D-1303-05
TCGA-B0-4836-01A-01D-1303-05
TCGA-B0-4837-01A-01D-1303-05
TCGA-B0-5077-01A-01D-1332-05
TCGA-B0-5081-01A-01D-1332-05
TCGA-B0-5088-01A-01D-1332-05
TCGA-B2-3923-01A-01D-1186-05
TCGA-B2-3924-01A-01D-1186-05
TCGA-B2-4098-01A-01D-1186-05
TCGA-B8-4143-01A-01D-1186-05
TCGA-B8-4148-01A-01D-1186-05
TCGA-B8-4151-01A-01D-1186-05
TCGA-B8-4154-01A-01D-1186-05
TCGA-B8-4620-01A-01D-1186-05
TCGA-BP-4158-01A-02D-1284-05
TCGA-BP-4159-01A-02D-1284-05
TCGA-BP-4160-01A-02D-1284-05
TCGA-BP-4162-01A-01D-1186-05
TCGA-BP-4163-01A-01D-1186-05
TCGA-BP-4164-01A-01D-1186-05
TCGA-BP-4165-01A-02D-1284-05
TCGA-BP-4169-01A-02D-1284-05
TCGA-BP-4170-01A-02D-1284-05
TCGA-BP-4325-01A-02D-1284-05
TCGA-BP-4332-01A-01D-1284-05
TCGA-BP-4334-01A-01D-1284-05
TCGA-BP-4337-01A-01D-1284-05
TCGA-BP-4338-01A-01D-1284-05
TCGA-BP-4341-01A-01D-1284-05
TCGA-BP-4342-01A-01D-1284-05
TCGA-BP-4343-01A-02D-1284-05
TCGA-BP-4349-01A-01D-1284-05
TCGA-BP-4351-01A-01D-1284-05
TCGA-BP-4352-01A-01D-1284-05
TCGA-BP-4353-01A-02D-1284-05
TCGA-BP-4355-01A-01D-1284-05
TCGA-BP-4756-01A-01D-1284-05
TCGA-BP-4758-01A-01D-1284-05
TCGA-BP-4759-01A-01D-1284-05
TCGA-BP-4761-01A-01D-1284-05
TCGA-BP-4762-01A-02D-1284-05
TCGA-BP-4763-01A-01D-1284-05
TCGA-BP-4766-01A-01D-1284-05
TCGA-BP-4768-01A-01D-1284-05
TCGA-BP-4769-01A-01D-1284-05
TCGA-BP-4775-01A-01D-1284-05
TCGA-BP-4787-01A-01D-1303-05
TCGA-BP-4789-01A-01D-1303-05
TCGA-BP-4790-01A-01D-1303-05
TCGA-BP-4797-01A-01D-1303-05
TCGA-BP-4798-01A-01D-1303-05
TCGA-BP-4799-01A-01D-1303-05
TCGA-BP-4803-01A-01D-1303-05
TCGA-BP-4804-01A-02D-1303-05
TCGA-BP-4807-01A-01D-1303-05
TCGA-BP-4959-01A-01D-1332-05
TCGA-BP-4960-01A-01D-1332-05
TCGA-BP-4961-01A-01D-1332-05
TCGA-BP-4962-01A-01D-1332-05
TCGA-BP-4963-01A-01D-1332-05
TCGA-BP-4967-01A-01D-1332-05
TCGA-BP-4969-01A-01D-1332-05
TCGA-BP-4970-01A-01D-1332-05
TCGA-BP-4971-01A-01D-1332-05
TCGA-BP-4975-01A-01D-1332-05
TCGA-BP-4976-01A-01D-1332-05
TCGA-BP-4977-01A-01D-1332-05
TCGA-BP-4981-01A-01D-1332-05
TCGA-BP-4983-01A-01D-1332-05
TCGA-BP-4985-01A-01D-1332-05
TCGA-BP-4988-01A-01D-1332-05
TCGA-BP-4991-01A-01D-1332-05
TCGA-BP-4992-01A-01D-1332-05
TCGA-BP-4994-01A-01D-1332-05
TCGA-BP-4995-01A-01D-1332-05
TCGA-BP-4999-01A-01D-1332-05
TCGA-BP-5000-01A-01D-1332-05
TCGA-BP-5001-01A-01D-1332-05
TCGA-BP-5006-01A-01D-1332-05
TCGA-BP-5007-01A-01D-1332-05
TCGA-BP-5008-01A-01D-1332-05
TCGA-BP-5009-01A-01D-1332-05
TCGA-CJ-4634-01A-01D-1186-05
TCGA-CJ-4635-01A-02D-1303-05
TCGA-CJ-4636-01A-01D-1186-05
TCGA-CJ-4637-01A-01D-1186-05
TCGA-CJ-4638-01A-01D-1186-05
TCGA-CJ-4639-01A-01D-1186-05
TCGA-CJ-4641-01A-01D-1186-05
TCGA-CJ-4642-01B-01D-1303-05
TCGA-CJ-4643-01A-01D-1186-05
TCGA-CJ-4644-01A-01D-1186-05
TCGA-CJ-4870-01A-01D-1303-05
TCGA-CJ-4872-01A-01D-1303-05
TCGA-CJ-4873-01A-01D-1303-05
TCGA-CJ-4874-01A-01D-1303-05
TCGA-CJ-4875-01A-01D-1303-05
TCGA-CJ-4876-01A-01D-1303-05
TCGA-CJ-4878-01A-01D-1303-05
TCGA-CJ-4881-01A-01D-1303-05
TCGA-CJ-4886-01A-01D-1303-05
TCGA-CJ-4887-01A-01D-1303-05
TCGA-CJ-4888-01A-01D-1303-05
TCGA-CJ-4889-01A-01D-1303-05
TCGA-CJ-4890-01A-01D-1303-05
TCGA-CJ-4891-01A-01D-1303-05
TCGA-CJ-4892-01A-01D-1303-05
TCGA-CJ-4893-01A-01D-1303-05
TCGA-CJ-4894-01A-01D-1303-05
TCGA-CJ-4895-01A-01D-1303-05
TCGA-CJ-4899-01A-01D-1332-05
TCGA-CZ-4854-01A-01D-1303-05
TCGA-CZ-4857-01A-01D-1303-05
TCGA-CZ-4858-01A-01D-1303-05
TCGA-CZ-4860-01A-01D-1303-05
TCGA-CZ-4861-01A-01D-1303-05
TCGA-CZ-4862-01A-01D-1303-05
