TCGA-04-1331-01A-01D-0432-05
TCGA-04-1332-01A-01D-0432-05
TCGA-04-1335-01A-01D-0432-05
TCGA-04-1336-01A-01D-0432-05
TCGA-04-1341-01A-01D-0432-05
TCGA-04-1342-01A-01D-0432-05
TCGA-04-1343-01A-01D-0432-05
TCGA-04-1347-01A-01D-0432-05
TCGA-04-1349-01A-01D-0460-05
TCGA-04-1350-01A-01D-0460-05
TCGA-04-1356-01A-01D-0460-05
TCGA-04-1357-01A-01D-0460-05
TCGA-04-1360-01A-01D-0460-05
TCGA-04-1362-01A-01D-0460-05
TCGA-04-1364-01A-01D-0460-05
TCGA-04-1365-01A-01D-0460-05
TCGA-04-1371-01A-01D-0460-05
TCGA-04-1519-01A-01D-0536-05
TCGA-04-1542-01A-01D-0501-05
TCGA-04-1638-01A-01D-0581-05
TCGA-04-1644-01B-01D-1047-05
TCGA-04-1646-01A-01D-0581-05
TCGA-04-1648-01A-01D-0581-05
TCGA-04-1649-01A-01D-0581-05
TCGA-04-1651-01A-01D-0581-05
TCGA-04-1654-01A-02D-0652-05
TCGA-09-0364-01A-02D-0359-05
TCGA-09-0369-01A-01D-0359-05
TCGA-09-1662-01A-01D-0536-05
TCGA-09-1664-01A-01D-0581-05
TCGA-09-1665-01B-01D-0536-05
TCGA-09-1667-01C-01D-0536-05
TCGA-09-1672-01A-01D-0563-05
TCGA-09-1673-01A-01D-0563-05
TCGA-09-1674-01A-01D-0563-05
TCGA-09-2043-01A-01D-0708-05
TCGA-09-2044-01B-01D-0708-05
TCGA-09-2048-01A-01D-0708-05
TCGA-09-2051-01A-01D-0708-05
TCGA-09-2053-01C-01D-0667-05
TCGA-09-2056-01B-01D-0667-05
TCGA-10-0926-01A-01D-0402-05
TCGA-10-0928-01A-02D-0402-05
TCGA-10-0931-01A-01D-0402-05
TCGA-10-0933-01A-01D-0402-05
TCGA-10-0934-01A-02D-0402-05
TCGA-10-0936-01A-01D-0402-05
TCGA-10-0937-01A-02D-0402-05
TCGA-10-0938-01A-02D-0402-05
TCGA-13-0714-01A-01D-0359-05
TCGA-13-0717-01A-01D-0359-05
TCGA-13-0723-01A-02D-0359-05
TCGA-13-0725-01A-01D-0359-05
TCGA-13-0726-01A-01D-0359-05
TCGA-13-0727-01A-01D-0359-05
TCGA-13-0730-01A-01D-0359-05
TCGA-13-0755-01A-01D-0359-05
TCGA-13-0757-01A-01D-0359-05
TCGA-13-0764-01A-03D-0359-05
TCGA-13-0766-01A-02D-0359-05
TCGA-13-0768-01A-01D-0359-05
TCGA-13-0793-01A-01D-0359-05
TCGA-13-0794-01A-01D-0359-05
TCGA-13-0799-01A-01D-0359-05
TCGA-13-0800-01A-01D-0359-05
TCGA-13-0801-01A-01D-0359-05
TCGA-13-0802-01A-01D-0359-05
TCGA-13-0804-01A-01D-0359-05
TCGA-13-0883-01A-02D-0402-05
TCGA-13-0884-01B-01D-0460-05
TCGA-13-0885-01A-02D-0402-05
TCGA-13-0886-01A-01D-0402-05
TCGA-13-0891-01A-01D-0402-05
TCGA-13-0893-01B-01D-0460-05
TCGA-13-0897-01A-01D-0402-05
TCGA-13-0899-01A-01D-0402-05
TCGA-13-0900-01B-01D-0460-05
TCGA-13-0911-01A-01D-0402-05
TCGA-13-0916-01A-01D-0402-05
TCGA-13-1405-01A-01D-0460-05
TCGA-13-1408-01A-01D-0460-05
TCGA-13-1409-01A-01D-0460-05
TCGA-13-1410-01A-01D-0460-05
TCGA-13-1485-01A-02D-0475-05
TCGA-13-1489-02A-01D-0807-05
TCGA-13-1491-01A-01D-0475-05
TCGA-13-1492-01A-01D-0475-05
TCGA-13-1494-01A-01D-0475-05
TCGA-13-1495-01A-01D-0475-05
TCGA-13-1497-01A-01D-0475-05
TCGA-13-1498-01A-01D-0475-05
TCGA-13-1499-01A-01D-0475-05
TCGA-13-1504-01A-01D-0475-05
TCGA-13-1507-01A-01D-0475-05
TCGA-13-1509-01A-01D-0475-05
TCGA-13-1510-01A-02D-0475-05
TCGA-13-1511-01A-01D-0475-05
TCGA-13-1512-01A-01D-0475-05
TCGA-13-1817-01A-01D-0807-05
TCGA-13-1819-02A-01D-0807-05
TCGA-13-2057-01A-02D-1047-05
TCGA-13-2059-01A-01D-1047-05
TCGA-13-2061-01A-01D-1047-05
TCGA-13-2065-01A-01D-1047-05
TCGA-13-2066-01A-01D-1047-05
TCGA-20-0990-01A-01D-0432-05
TCGA-20-1682-01A-01D-0563-05
TCGA-20-1685-01A-01D-0563-05
TCGA-20-1687-01A-01D-0563-05
TCGA-23-1022-01A-02D-0432-05
TCGA-23-1024-01A-02D-0432-05
TCGA-23-1029-01B-01D-0581-05
TCGA-23-1032-01A-02D-0432-05
TCGA-23-1107-01A-01D-0432-05
TCGA-23-1113-01A-01D-0432-05
TCGA-23-1114-01B-01D-0563-05
TCGA-23-1119-01A-02D-0432-05
TCGA-23-1120-01A-02D-0432-05
TCGA-23-1122-01A-01D-0432-05
TCGA-23-1123-01A-01D-0432-05
TCGA-23-1124-01A-01D-0432-05
TCGA-23-1809-01A-01D-0563-05
TCGA-23-2072-01A-01D-0667-05
TCGA-23-2645-01A-01D-1047-05
TCGA-24-0966-01A-01D-0402-05
TCGA-24-0968-01A-01D-0432-05
TCGA-24-0970-01B-01D-0432-05
TCGA-24-0975-01B-02D-0432-05
TCGA-24-1419-01A-01D-0475-05
TCGA-24-1422-01A-01D-0475-05
TCGA-24-1426-01A-01D-0475-05
TCGA-24-1427-01A-01D-0475-05
TCGA-24-1430-01A-01D-0475-05
TCGA-24-1434-01A-01D-0475-05
TCGA-24-1435-01A-01D-0475-05
TCGA-24-1436-01A-01D-0475-05
TCGA-24-1466-01A-01D-0475-05
TCGA-24-1467-01A-01D-0475-05
TCGA-24-1470-01A-01D-0501-05
TCGA-24-1471-01A-01D-0501-05
TCGA-24-1474-01A-01D-0501-05
TCGA-24-1544-01A-01D-0536-05
TCGA-24-1545-01A-01D-0536-05
TCGA-24-1548-01A-01D-0536-05
TCGA-24-1560-01A-01D-0536-05
TCGA-24-1563-01A-01D-0501-05
TCGA-24-1564-01A-01D-0501-05
